code,name,close,ma5,pct_above
603198,迎驾贡酒,31.58,30.42,3.83
002397,梦洁股份,4.08,3.93,3.82
002524,光正眼科,3.64,3.51,3.82
600356,恒丰纸业,7.99,7.7,3.82
603325,博隆技术,56.13,54.07,3.82
000529,广弘控股,4.63,4.46,3.81
001395,亚联机械,24.6,23.7,3.81
002873,新天药业,7.9,7.61,3.81
600521,华海药业,15.41,14.84,3.81
603900,莱绅通灵,6.05,5.83,3.81
600635,大众公用,4.54,4.37,3.8
002232,启明信息,14.86,14.32,3.79
600738,丽尚国潮,3.83,3.69,3.79
601566,九牧王,8.7,8.38,3.79
001256,炜冈科技,29.73,28.65,3.78
600351,亚宝药业,6.2,5.97,3.78
601606,长城军工,29.18,28.12,3.78
002863,今飞凯达,4.51,4.35,3.77
600329,达仁堂,39.97,38.52,3.77
603332,苏州龙杰,10.85,10.46,3.77
603506,南都物业,10.12,9.75,3.77
603587,地素时尚,11.84,11.41,3.77
001219,青岛食品,12.26,11.82,3.76
002550,千红制药,6.84,6.59,3.76
603029,天鹅股份,15.05,14.5,3.76
603231,索宝蛋白,15.79,15.22,3.76
600873,梅花生物,7.91,7.62,3.75
601101,昊华能源,11.4,10.99,3.75
603073,彩蝶实业,15.9,15.33,3.75
002264,新华都,6.04,5.82,3.74
600360,华微电子,14.96,14.42,3.74
601500,通用股份,3.88,3.74,3.74
002064,华峰化学,10.45,10.07,3.73
002976,瑞玛精密,26.9,25.94,3.72
001365,天海电子,42.38,40.86,3.71
002889,东方嘉盛,11.28,10.88,3.71
600613,神奇制药,4.81,4.64,3.71
603043,广州酒家,13.32,12.84,3.71
000558,天府文旅,3.36,3.24,3.7
000798,中水渔业,7.52,7.25,3.7
001234,泰慕士,20.95,20.2,3.7
603291,联合水务,8.47,8.17,3.7
603685,晨丰科技,29.41,28.36,3.7
001202,炬申股份,14.32,13.81,3.69
002773,康弘药业,22.34,21.54,3.69
603059,倍加洁,25.76,24.84,3.69
603787,新日股份,9.66,9.32,3.69
000581,威孚高科,17.96,17.32,3.68
002123,梦网科技,7.95,7.67,3.68
002877,智能自控,7.43,7.17,3.68
600123,兰花科创,5.74,5.54,3.68
600632,华联商厦,9.53,9.19,3.68
001326,联域股份,62.39,60.18,3.67
002526,山东矿机,2.71,2.61,3.67
600350,山东高速,11.87,11.45,3.67
002363,隆基机械,6.34,6.12,3.66
002811,郑中设计,11.86,11.44,3.65
600548,深高速,8.68,8.37,3.65
603348,文灿股份,14.18,13.68,3.65
600860,京城股份,8.71,8.4,3.64
600433,冠豪高新,3.37,3.25,3.63
600969,郴电国际,8.04,7.76,3.63
603276,恒兴新材,16.22,15.65,3.63
603766,隆鑫通用,12.86,12.41,3.63
000338,潍柴动力,28.14,27.16,3.62
002985,北摩高科,28.38,27.39,3.62
002389,航天彩虹,18.41,17.77,3.61
600765,中航重机,13.59,13.12,3.61
001208,华菱线缆,14.74,14.23,3.6
002848,高斯贝尔,14.37,13.87,3.6
600118,中国卫星,86.3,83.3,3.6
600137,浪莎股份,17.4,16.8,3.6
600893,航发动力,39.31,37.94,3.6
600925,苏能股份,4.26,4.11,3.6
603161,科华控股,14.17,13.68,3.6
603228,景旺电子,71.97,69.47,3.6
002337,赛象科技,4.67,4.51,3.59
002465,海格通信,13,12.55,3.59
600129,太极集团,14.09,13.6,3.59
605287,德才股份,44.19,42.66,3.59
605500,森林包装,6.58,6.35,3.59
603970,中农立华,10.31,9.95,3.58
000901,航天科技,18.29,17.66,3.57
600358,国旅联合,5.45,5.26,3.57
002343,慈文传媒,4.65,4.49,3.56
603987,康德莱,7.38,7.13,3.56
605008,长鸿高科,11.8,11.39,3.56
600501,航天晨光,16.33,15.77,3.55
601008,连云港,4.26,4.11,3.55
601965,中国汽研,12.54,12.11,3.55
002287,奇正藏药,20.2,19.51,3.54
600051,宁波联合,6.03,5.82,3.54
600612,老凤祥,34.13,32.96,3.54
605056,咸亨国际,16.56,15.99,3.54
600335,国机汽车,4.98,4.81,3.53
600400,红豆股份,3.46,3.34,3.53
603112,华翔股份,17.31,16.72,3.53
603237,五芳斋,13.2,12.75,3.53
603511,爱慕股份,12.27,11.85,3.53
600149,廊坊发展,4.76,4.6,3.52
600774,汉商集团,6.76,6.53,3.52
603937,丽岛新材,14.69,14.19,3.52
000153,丰原药业,5.43,5.25,3.51
603321,梅轮电梯,6.08,5.87,3.51
603982,泉峰汽车,5.9,5.7,3.51
605001,威奥股份,5.78,5.58,3.51
002517,恺英网络,16.92,16.35,3.5
002882,金龙羽,19.6,18.94,3.5
600980,北矿科技,19.72,19.05,3.5
